DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2015.10.28-21.56.32, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=0.499256ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_1, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD223CF75__23E99E83774251E57C2B3F99B833103F99DBF08E, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=3312989 bytes, Retrieved=true, Duration=1.262370ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_2, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD223CF75__E2C92D33A3E77933BD68685D5D271B5F31760256, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=2616510 bytes, Retrieved=true, Duration=0.926003ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_3, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufDAB81C28__16747BAB7773CD8447CFE1E2C4A42C3675E8564A, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=43977 bytes, Retrieved=true, Duration=0.043701ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_4, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufDAB81C28__F8BF0D1E00F78F96B5A37953F5FF55CA9FEB1320, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=36856 bytes, Retrieved=true, Duration=0.034433ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_5, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufCE894242__C0118808F184FFB83D79AD9AB11575B821F7BE15, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=94560 bytes, Retrieved=true, Duration=0.062574ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_6, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufCE894242__E69F05CBE301C9C11AAEFB5532D8AB1468EC7EAA, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=85695 bytes, Retrieved=true, Duration=0.042375ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_7, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufD9DB04D0__8C735E221A869B92BEE039699E78B506A39A8D22, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=45844 bytes, Retrieved=true, Duration=0.036087ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_8, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD9DB04D0__0545CEB5D995C403F86A3189EAD5D9939AECBB77, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=38654 bytes, Retrieved=true, Duration=0.036087ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_9, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__A5F2BF274BCBD6757D2C7D5213D6917ACF545A9A, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=50964 bytes, Retrieved=true, Duration=0.037745ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_10, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__657512B49AED8701BB45866B56D043486A67DF9B, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=43651 bytes, Retrieved=true, Duration=0.043370ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_11, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__E6DF9CE0EE9717D8B71B071B783390509E9F2721, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=46674 bytes, Retrieved=true, Duration=0.036746ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_12, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__D4515787DF5450CB1E68235EBDDEF7547C3CDA40, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=39664 bytes, Retrieved=true, Duration=0.036087ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_13, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__6CDBC5D52F47BF08934D4F01FCC716E20F6A094B, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=27401 bytes, Retrieved=true, Duration=0.044033ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_14, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__B47EE8B2D597F86D3C53961C6B7DA58E4033BABF, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=20272 bytes, Retrieved=true, Duration=0.032779ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_15, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__F9C741C33AE83ACDCE92A59BCAEB4C89BB03F1E0, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=18645 bytes, Retrieved=true, Duration=0.038736ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_16, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__33390D3EE9D7EAE85E005AA887A98A1CFB42A306, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=11827 bytes, Retrieved=true, Duration=0.033770ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_17, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__12646B186A5F8067991F14F06B743B5A3FE20E69, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=38327 bytes, Retrieved=true, Duration=0.039726ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_18, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__F3E4FF6050A5B18A1763C9645723AE6228DED35E, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=31142 bytes, Retrieved=true, Duration=0.040058ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_19, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__6DFD6A9743F9754A1517BAA869C5D847C1C98B25, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=37776 bytes, Retrieved=true, Duration=0.033770ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_20, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__0114BEE7C227E9C8B23DC2CBDDB49DE1A01656FB, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=30886 bytes, Retrieved=true, Duration=0.035424ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_21, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_21__27332BED7EEB4BCFC645A8495DBDD296BC92845C, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=36762 bytes, Retrieved=true, Duration=0.035755ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_22, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_572BACBB4C0F7A7E5__3E548DD4356165E327B3FDBD52328D445BA9E3FF, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=5894 bytes, Retrieved=true, Duration=0.029467ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_23, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_572BACBB4C0F7A7E5E958FB3CA3C35D__C2850DB5A2961110725E32467314D7B18AB25CB6, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=15253 bytes, Retrieved=true, Duration=0.034101ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_24, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufAC9EF829__0CC90BCC7CB3BEC77CF32C4DD5F1EE3BC2A21964, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=157804 bytes, Retrieved=true, Duration=0.078466ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_25, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufAC9EF829__078DC3A2CA456C68285493BF0B4FE5E514CD60D0, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=116636 bytes, Retrieved=true, Duration=0.047013ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_26, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufA65D8BFD__CF4177CAB09C8B8AA41DB921825871BDA6D04EE5, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=675243 bytes, Retrieved=true, Duration=0.236716ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_27, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufA65D8BFD__2743960A903FCC6C318FC02A3A8EC2FC1F9C6A61, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=496359 bytes, Retrieved=true, Duration=0.092700ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_28, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D8__AB7440EC4758A80E781CBED1E2F4D9CABBC9ECB2, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=15569 bytes, Retrieved=true, Duration=0.030462ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
DDCTransactionId56F8EB664884632CC3F82C80E2C5E4D2_29, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B92E78C4DB1EF7D0C58D2A05F1E4C3__0A0B313B1A847E9E2D62BADAF19988370A263D03, StartTime=2015.10.28-21.56.33, HierarchicalDDC, DataSize=5412 bytes, Retrieved=true, Duration=0.029463ms, RunGuid=RunIDCEA1B8674DB7E6F67355CC94DD92FC2D
